"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 30 08:15:21 IST 2024","Sun Jun 30 08:15:47 IST 2024","25633","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case68]",""
"passed","Sun Jun 30 07:34:38 IST 2024","Sun Jun 30 07:35:31 IST 2024","53232","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case6]",""
"passed","Sun Jun 30 07:48:54 IST 2024","Sun Jun 30 07:49:30 IST 2024","35319","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case30]",""
"passed","Sun Jun 30 07:50:12 IST 2024","Sun Jun 30 07:51:01 IST 2024","49694","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case32]",""
"passed","Sun Jun 30 07:46:33 IST 2024","Sun Jun 30 07:47:10 IST 2024","36513","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case26]",""
"passed","Sun Jun 30 08:12:37 IST 2024","Sun Jun 30 08:13:32 IST 2024","55164","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case65]",""
"passed","Sun Jun 30 07:41:28 IST 2024","Sun Jun 30 07:42:56 IST 2024","87923","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case20]",""
"passed","Sun Jun 30 07:33:14 IST 2024","Sun Jun 30 07:33:36 IST 2024","22001","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case2]",""
"passed","Sun Jun 30 07:45:00 IST 2024","Sun Jun 30 07:45:22 IST 2024","22308","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case23]",""
"passed","Sun Jun 30 08:11:32 IST 2024","Sun Jun 30 08:12:37 IST 2024","64749","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case64]",""
"passed","Sun Jun 30 07:53:52 IST 2024","Sun Jun 30 07:54:27 IST 2024","35228","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case38]",""
"passed","Sun Jun 30 07:43:43 IST 2024","Sun Jun 30 07:45:00 IST 2024","77164","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case22]",""
"passed","Sun Jun 30 08:10:36 IST 2024","Sun Jun 30 08:11:32 IST 2024","56394","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case63]",""
"passed","Sun Jun 30 08:08:10 IST 2024","Sun Jun 30 08:08:39 IST 2024","28259","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case59]",""
"passed","Sun Jun 30 08:09:54 IST 2024","Sun Jun 30 08:10:36 IST 2024","42221","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case62]",""
"passed","Sun Jun 30 08:04:10 IST 2024","Sun Jun 30 08:05:02 IST 2024","52359","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case53]",""
"passed","Sun Jun 30 07:37:18 IST 2024","Sun Jun 30 07:37:37 IST 2024","18921","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case11]",""
"passed","Sun Jun 30 07:45:22 IST 2024","Sun Jun 30 07:46:03 IST 2024","40603","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case24]",""
"passed","Sun Jun 30 07:33:36 IST 2024","Sun Jun 30 07:34:02 IST 2024","26610","tests.SegmentGenerator","MCR_Segment_Prompt_Testing","","","","test_Segment_Generator[test_case3]",""
